"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"130","Tullamarine - Broadmeadows","Broadmeadows VIC 3047, Australia","Vic",27.67,48463.537
"131","Knox","Knox, VIC, Australia","Vic",40.23,54060.8914
"132","Manningham - East","Manningham, VIC, Australia","Vic",33.3,75047.6227
"133","Maroondah","Maroondah, VIC, Australia","Vic",36.05,54908.9754
"134","Whitehorse - East","Whitehorse, VIC, Australia","Vic",33.23,56383.0793
"135","Yarra Ranges","Yarra Ranges, VIC, Australia","Vic",86.92,52477.4293
"136","Cardinia","Cardinia VIC 3978, Australia","Vic",55.73,52575.6285
"137","Casey - North","90-92 Victor Cres, Narre Warren VIC 3805, Australia","Vic",42.2,53702.6875
"138","Casey - South","Casey, VIC, Australia","Vic",51.42,50416.362
"139","Dandenong","Dandenong VIC 3175, Australia","Vic",38.17,44423.979
"140","Monash","Monash, VIC, Australia","Vic",30.42,55416.7099
"141","Brimbank","Brimbank, VIC, Australia","Vic",29.82,46859.9887
"142","Hobsons Bay","Hobsons Bay, VIC, Australia","Vic",24.18,61498.3649
"143","Maribyrnong","Maribyrnong VIC 3032, Australia","Vic",24.03,55974.6599
"144","Melton - Bacchus Marsh","Bacchus Marsh VIC 3340, Australia","Vic",50.63,53347.8313
"145","Wyndham","Wyndham, VIC, Australia","Vic",37.93,54855.4122
"146","Frankston","Frankston VIC 3199, Australia","Vic",49.17,51123.8426
"147","Mornington Peninsula","Mornington Peninsula, VIC, Australia","Vic",65.33,54799.6172
"148","Grampians","Grampians VIC 3314, Australia","Vic",218.78,47660.089
"149","Mildura","Mildura VIC 3500, Australia","Vic",359.05,44226.4647
"150","Murray River - Swan Hill","481 Campbell St, Swan Hill VIC 3585, Australia","Vic",224.87,43233.3137
"151","Campaspe","Campaspe, VIC, Australia","Vic",150.12,42981.1203
"152","Moira","Moira, VIC, Australia","Vic",167.12,41581.7817
"153","Shepparton","Shepparton VIC 3630, Australia","Vic",129.25,45977.3118
"154","Glenelg - Southern Grampians","Glenelg River, Rocklands VIC 3401, Australia","Vic",243.47,49685.4475
"155","Colac - Corangamite","Colac VIC 3250, Australia","Vic",113.6,44820.1235
"156","Warrnambool","Warrnambool VIC 3280, Australia","Vic",182.02,49946.5681
"157","Capalaba","Capalaba QLD 4157, Australia","Qld",30.42,58168.5193
"158","Cleveland - Stradbroke","12 Emmett Dr, Cleveland QLD 4163, Australia","Qld",42.82,57941.9916
"159","Wynnum - Manly","Wynnum Esplanade, Wynnum QLD 4178, Australia","Qld",32.47,60566.5884
"160","Bald Hills - Everton Park","1969 Gympie Rd, Bald Hills QLD 4036, Australia","Qld",28.18,62734.7821
"161","Chermside","Chermside QLD 4032, Australia","Qld",18.48,59777.6471
