"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"150",21503,"Murray River - Swan Hill",20682,46,801288623,32462,38743.2851271637,2,"Vic","Melbourne","Swan Hill VIC 3585, Australia","Melbourne VIC, Australia",338.97,"339 km",13597,226.62,3.78,"3 hours 47 mins","OK","OK",""
"151",21601,"Campaspe",19865,45,765146305,33419,38517.307072741,2,"Vic","Melbourne","Campaspe, VIC, Australia","Melbourne VIC, Australia",203.47,"203 km",8926,148.77,2.48,"2 hours 29 mins","OK","OK",""
"152",21602,"Moira",14674,46,546794479,31731,37262.8103448276,2,"Vic","Melbourne","Moira, VIC, Australia","Melbourne VIC, Australia",245.57,"246 km",10013,166.88,2.78,"2 hours 47 mins","OK","OK",""
"153",21603,"Shepparton",33206,43,1368166142,35447,41202.3773414443,2,"Vic","Melbourne","Shepparton VIC 3630, Australia","Melbourne VIC, Australia",190.38,"190 km",7712,128.53,2.14,"2 hours 9 mins","OK","OK",""
"154",21701,"Glenelg - Southern Grampians",20410,46,908761896,36904,44525.3256246938,2,"Vic","Melbourne","Glenelg River, Rocklands VIC 3401, Australia","Melbourne VIC, Australia",353.31,"353 km",14674,244.57,4.08,"4 hours 5 mins","OK","OK",""
"155",21703,"Colac - Corangamite",21253,46,853619252,34495,40164.6474380088,2,"Vic","Melbourne","Colac VIC 3250, Australia","Melbourne VIC, Australia",152.54,"153 km",6974,116.23,1.94,"1 hour 56 mins","OK","OK",""
"156",21704,"Warrnambool",27777,44,1243282739,37561,44759.4318680923,2,"Vic","Melbourne","Warrnambool VIC 3280, Australia","Melbourne VIC, Australia",256.95,"257 km",11081,184.68,3.08,"3 hours 5 mins","OK","OK",""
"157",30101,"Capalaba",41307,42,2153211088,43181,52127.0266056601,3,"Qld","Brisbane","Capalaba QLD 4157, Australia","Brisbane QLD, Australia",20.26,"20.3 km",1811,30.18,0.5,"30 mins","OK","OK",""
"158",30102,"Cleveland - Stradbroke",42388,45,2200950915,40351,51923.9151410777,3,"Qld","Brisbane","12 Emmett Dr, Cleveland QLD 4163, Australia","Brisbane QLD, Australia",30.4,"30.4 km",2623,43.72,0.73,"44 mins","OK","OK",""
"159",30103,"Wynnum - Manly",37119,41,2014661643,45472,54275.752121555,3,"Qld","Brisbane","Manly QLD 4179, Australia","Brisbane QLD, Australia",21.74,"21.7 km",2047,34.12,0.57,"34 mins","OK","OK",""
"160",30201,"Bald Hills - Everton Park",23461,43,1318957380,45102,56219.1458164614,3,"Qld","Brisbane","Everton Park QLD 4053, Australia","Brisbane QLD, Australia",14.91,"14.9 km",1277,21.28,0.35,"21 mins","OK","OK",""
